id,slug,titolo,lang_current,lang_detected,action
0949f5c9-1e33-42dd-8310-5c45567e9d21,5-anni-di-casetta,5 anni di Casetta,it,it,ok_no_change
0970738d-a976-4409-8a0c-e2f8b6216b2a,tutti-insieme-fedelucissimamente,"""Tutti insieme fedelucissimamente""",it,it,ok_no_change
0976cf70-2de1-4537-8904-f5d4140dc740,lamministratore-di-sostegno-per-le-persone-con-disabilita-pa,L'amministratore di sostegno per le persone con disabilità - Parla il ,it,it,ok_no_change
098509a9-19af-4e70-853c-7fec4ef92324,lintimita-del-corpo-maria-non-ha-il-senso-del-pudore,L'intimità del corpo: “Maria non ha il senso del pudore”,it,it,ok_no_change
09929e44-3146-4c9f-aade-24606aff5fa4,la-comunita-luogo-del-perdono-e-della-festa-2,"La comunità, luogo del perdono e della festa",it,it,ok_no_change
09b48251-3983-438e-9710-31b26e1d1941,voglio-sposarmi,Voglio sposarmi,it,it,ok_no_change
09b6722d-5c4a-4a93-a1c0-2b1c41105d59,il-natale-di-carlo,Il Natale di Carlo,it,it,ok_no_change
09bb8253-671c-44ca-98c3-1f36fa63b36e,gli-altri,Gli altri,it,it,ok_no_change
09bd724a-64c3-463c-aa8d-a8ff78b49728,cinema-e-disabilita-i-3-film-di-emanuele-rauco,Cinema e disabilità: i 3 film di Emanuele Rauco,en,it,PATCH_IT
09c12b14-dbb7-4a4c-9587-73a7309ff12f,le-anime-semplici-recensione,Le anime semplici - Recensione,it,it,ok_no_change
09e265e4-da5e-45ce-afe0-0ba125650507,i-genitori-commentano-le-parole-del-cardinal-martini,I genitori commentano le parole del cardinal Martini,it,it,ok_no_change
09fec868-4e83-40ff-b5a4-729affa11dfe,chicco-casa-famiglia-dellarche,"Il Chicco, casa famiglia dell'Arche",it,it,ok_no_change
0a17534b-d533-4c23-a6fe-2fd4bb77e4cc,nessuno-escluso-il-natale-del-laboratorio-lalveare,Nessuno escluso: il Natale del Laboratorio L'Alveare,it,it,ok_no_change
0a23ed0c-238c-43ea-ba6a-687fd5858944,essere-padrino-di-mario,Essere padrino di Mario,it,it,ok_no_change
0a36d810-f6cc-4453-8f83-abe48f70f8f2,10-anni-di-ombre-e-luci-piu-che-una-rivista-una-grande-famig,"10 anni di Ombre e Luci: più che una rivista, una grande famiglia",it,it,ok_no_change
0a4300d4-8fb5-42f8-b69f-401605141ca5,strategie-educative-nellautismo,Strategie educative nell'autismo,en,it,PATCH_IT
0a5ccd97-a785-4a70-859c-a8cfca3d8eea,sorpresa,Sorpresa!,it,it,ok_no_change
0a60e8e8-2660-4598-91c9-1c419b919740,la-sete-e-lacqua-della-speranza,La sete e l'acqua della speranza,it,it,ok_no_change
0a888bb0-a684-40cf-b5f8-08ad78840bbf,testing-women-testing-the-fetus-recensione,"Testing Women, Testing the Fetus | Recensione",en,it,PATCH_IT
0a8f7cb7-b3f3-418c-9e59-8791f78c07a4,dialogo-aperto-n-103,Dialogo aperto n. 103,it,it,ok_no_change
0a98970a-bff4-4055-b796-4bec1c2d292b,i-pellegrinaggi-di-fede-e-luce,I pellegrinaggi di Fede e Luce,it,it,ok_no_change
0a9df56e-c162-41b9-9704-c761492729f9,i-bambini-di-tutti,I bambini di tutti,it,it,ok_no_change
0a9f07c2-9297-4484-ab9f-146adcb25100,il-dono-di-un-volto,Il dono di un volto,it,it,ok_no_change
0ab0e8ef-64f9-4b99-8a6b-beafa2ede9a9,al-tepore-un-amore-semplice,Al tepore di un amore semplice,it,it,ok_no_change
0af864df-47c8-416e-81bb-3d5e21b0aeda,la-mela-e-solo-rimandata,La mela è solo rimandata!,it,it,ok_no_change
0b05f890-34d5-413c-a62b-99abdb037558,stavolta-ho-tifato-per-la-primavera-dellempoli,Stavolta ho tifato per la Primavera dell'Empoli,it,it,ok_no_change
0b598562-5f7d-4bb6-a270-167e85fb102c,vivere-lultimo-istante,«Vivere l'ultimo istante»,it,it,ok_no_change
0b75b2d8-2b9e-426e-971b-c8a19ba3386f,dialogo-aperto-n-42,Dialogo Aperto n. 42,it,it,ok_no_change
0b830171-6481-424c-a567-ca9fe5af6009,un-solo-nome,Un solo nome,it,it,ok_no_change
0b9b285f-1663-40a1-bddd-c133b720fdf4,il-dolore-innocente-un-handicappato-nella-mia-famiglia,Il dolore innocente – Un handicappato nella mia famiglia,it,it,ok_no_change
0ba157eb-0808-49b1-bc10-2756ca90497a,pellegrinaggio-a-loreto-1979-olga-gammarelli,Pellegrinaggio a Loreto 1979 raccontato da Olga Gammarelli,it,it,ok_no_change
0bc3c326-922e-4612-a39e-b55440f0064e,labbraccio-di-lorella,L'abbraccio di Lorella,it,it,ok_no_change
